Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,10/29/2020 14:50,FALSE,Park County Running,1.02,183,0:39:41,96,127,1,49,158,39:03:00,3:14,276,259,0.83,0,0,--,0,0,0,39:41:00,0:00,64.4,0:00,No,00:02.5,2,0,21,21,21
Running,10/29/2020 13:34,FALSE,Park County Running,0.72,137,0:31:13,91,117,0.6,40,162,43:33:00,12:53,105,62,0.91,0,0,--,0,0,0,31:13:00,0:00,68,0:00,No,31:13.0,1,0,18,18,18
Running,10/27/2020 10:34,FALSE,Grand County Running,2.01,224,0:35:41,110,138,1.7,91,250,17:46,5:22,217,207,1,0,0,--,0,0,0,35:41:00,0:00,66.2,0:00,No,00:06.0,3,0,14,14,14
Running,10/26/2020 15:12,FALSE,San Juan County Running,1.89,259,0:50:17,104,129,0.9,71,225,26:38:00,13:49,213,184,0.86,0,0,--,0,0,0,50:17:00,0:00,66.2,0:00,No,22:53.0,2,0,24,24,24
Running,10/25/2020 11:27,FALSE,Garfield County Running,8.43,"1,251",3:01:06,130,178,3.7,97,250,21:30,10:07,"1,739","1,742",0.77,0,0,--,0,0,0,3:01:06,0:00,60.8,0:00,No,07:42.4,9,0,17,17,17
Elliptical,10/12/2020 23:17,FALSE,Elliptical,0,238,0:31:24,119,141,2.2,1,123,--,--,--,--,0,0,0,--,0,0,0,31:24:00,0:00,86,0:00,No,31:23.7,1,0,15,15,15
Elliptical,10/11/2020 21:22,FALSE,Elliptical,0,318,0:31:54,141,170,3.3,2,222,--,--,--,--,0,0,0,--,0,0,0,31:54:00,0:00,86,0:00,No,31:54.3,1,0,16,16,16
Elliptical,10/10/2020 2:33,FALSE,Elliptical,0,286,0:31:23,131,162,3,--,105,--,--,--,--,0,0,0,--,0,0,0,31:23:00,0:00,86,0:00,No,31:23.4,1,0,16,16,16
Elliptical,10/3/2020 20:52,FALSE,Elliptical,0,274,0:31:25,131,167,3.1,3,123,--,--,--,--,0,0,0,--,0,0,0,31:25:00,0:00,82.4,0:00,No,31:25.1,1,0,14,14,14
Elliptical,8/27/2020 21:46,FALSE,Elliptical,0,303,0:30:07,141,160,3.2,1,119,--,--,--,--,0,0,0,--,0,0,0,30:07:00,0:00,86,0:00,No,30:06.8,1,0,18,18,18
Elliptical,8/8/2020 9:16,FALSE,Elliptical,0,199,0:21:19,127,146,2.2,--,122,--,--,--,--,0,0,0,--,0,0,0,21:19,0:00,78.8,0:00,No,21:19.3,1,0,14,14,14
Running,8/7/2020 18:54,FALSE,Santee Running,1.86,235,0:41:28,107,123,1.2,89,130,22:18,14:31,30,43,0.81,0,0,--,0,0,0,41:28:00,0:00,82.4,0:00,No,19:41.7,2,0,19,19,19
Elliptical,7/10/2020 20:50,FALSE,Elliptical,0,91,0:12:15,113,131,0.9,1,92,--,--,--,--,0,0,0,--,0,0,0,12:15,0:00,87.8,0:00,No,12:14.6,1,0,13,13,13
