Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Climb Time,Min Temp,Best Lap Time,Number of Laps
Running,10/29/2020 14:50,Park County Running,1.02,183,0:39:41,96,127,1,49,158,39:03:00,3:14,276,259,0.83,39:41:00,64.4,00:02.5,2
Running,10/29/2020 13:34,Park County Running,0.72,137,0:31:13,91,117,0.6,40,162,43:33:00,12:53,105,62,0.91,31:13:00,68,31:13.0,1
Running,10/27/2020 10:34,Grand County Running,2.01,224,0:35:41,110,138,1.7,91,250,17:46,5:22,217,207,1,35:41:00,66.2,00:06.0,3
Running,10/26/2020 15:12,San Juan County Running,1.89,259,0:50:17,104,129,0.9,71,225,26:38:00,13:49,213,184,0.86,50:17:00,66.2,22:53.0,2
Running,10/25/2020 11:27,Garfield County Running,8.43,1251,3:01:06,130,178,3.7,97,250,21:30,10:07,1739,1742,0.77,3:01:06,60.8,07:42.4,9
Elliptical,10/12/2020 23:17,Elliptical,0,238,0:31:24,119,141,2.2,1,123,0,0,0,0,0,31:24:00,86,31:23.7,1
Elliptical,10/11/2020 21:22,Elliptical,0,318,0:31:54,141,170,3.3,2,222,0,0,0,0,0,31:54:00,86,31:54.3,1
Elliptical,10/10/2020 2:33,Elliptical,0,286,0:31:23,131,162,3,0,105,0,0,0,0,0,31:23:00,86,31:23.4,1
Elliptical,10/3/2020 20:52,Elliptical,0,274,0:31:25,131,167,3.1,3,123,0,0,0,0,0,31:25:00,82.4,31:25.1,1
Elliptical,8/27/2020 21:46,Elliptical,0,303,0:30:07,141,160,3.2,1,119,0,0,0,0,0,30:07:00,86,30:06.8,1
Elliptical,8/8/2020 9:16,Elliptical,0,199,0:21:19,127,146,2.2,0,122,0,0,0,0,0,21:19,78.8,21:19.3,1
Running,8/7/2020 18:54,Santee Running,1.86,235,0:41:28,107,123,1.2,89,130,22:18,14:31,30,43,0.81,41:28:00,82.4,19:41.7,2
Elliptical,7/10/2020 20:50,Elliptical,0,91,0:12:15,113,131,0.9,1,92,0,0,0,0,0,12:15,87.8,12:14.6,1
Running,6/28/2020 18:35,Santee Running,6.01,656,0:59:16,144,158,3.8,163,183,9:52,8:21,135,121,1,59:16:00,71.6,00:08.4,7
Elliptical,6/25/2020 7:48,Elliptical,0,182,0:21:16,121,144,2,1,116,0,0,0,0,0,21:16,82.4,21:15.5,1
Elliptical,6/22/2020 22:11,Elliptical,0,635,1:10:13,130,169,3.2,2,122,0,0,0,0,0,1:10:13,86,10:13.5,1
Running,6/16/2020 20:11,Santee Running,3.17,360,0:33:14,139,155,3,163,176,10:29,8:21,177,174,0.94,33:14:00,71.6,01:40.5,4
Running,6/7/2020 11:06,Santee Running,0.66,64,06:46.3,125,139,1.1,166,179,10:16,8:51,10,26,0.94,06:46.3,80.6,06:46.3,1
Running,6/6/2020 17:14,Santee Running,7.06,847,1:10:33,150,178,4.8,163,178,9:59,8:41,184,180,0.99,1:10:33,75.2,00:33.1,8
Elliptical,6/4/2020 21:05,Elliptical,0,621,1:07:29,135,162,3.7,5,128,0,0,0,0,0,1:07:29,84.2,07:28.8,1
Elliptical,6/2/2020 21:22,Elliptical,0,362,0:35:31,133,154,3,1,127,0,0,0,0,0,35:31:00,84.2,00:00.0,1
Running,5/31/2020 17:06,Santee Running,5.56,772,0:57:02,163,182,5,163,172,10:15,9:09,180,180,0.96,57:02:00,82.4,06:11.9,6
Elliptical,5/28/2020 1:22,Elliptical,0,237,0:27:01,122,145,2.4,1,158,0,0,0,0,0,27:01:00,84.2,00:04.5,2
Running,5/25/2020 10:59,Poway Running,7.8,1286,3:05:35,124,166,3.2,93,247,23:48,8:26,2096,2087,0.71,3:05:35,86,11:53.7,8
