id,type,start_date_local,x_start_h,name,x_min,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,average_heartrate,max_heartrate,average_cadence,x_nearest_city_start,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,athlete_count,average_temp,distance,elapsed_time,start_latitude,start_longitude,timezone,x_date,x_elev_%,x_url
868156484,Run,15.01.2017 06:17:41,6.3,Morning Run,248.2,26.51,9.36,6.41,9.17,217.6,,,80.8,NA-US-CA-Carlsbad,0.2,"[33.176906, -117.335854]","[33.177626, -117.337364]",-7.1,97.1,29,,42663.3,14892,33.176906,-117.335854,(GMT-08:00) America/Los_Angeles,2017-01-15,0.51,https://www.strava.com/activities/868156484
868156415,Run,17.01.2017 18:50:18,18.8,Evening Run,16.1,2.023,7.95,7.55,11.41,0,,,84.5,NA-US-CA-Coronado,0.1,"[32.720301, -117.150205]","[32.721214, -117.150103]",40.7,44.6,30,,3256.2,1300,32.720301,-117.150205,(GMT-08:00) America/Los_Angeles,2017-01-17,,https://www.strava.com/activities/868156415
868156459,Run,19.01.2017 06:35:12,6.6,Morning Run,87,10.091,8.62,6.96,9.62,137.6,,,84,NA-US-CA-Santee,0,"[32.853794, -116.960111]","[32.853645, -116.960532]",106,201.5,1,,16240.6,5271,32.853794,-116.960111,(GMT-08:00) America/Los_Angeles,2017-01-19,0.85,https://www.strava.com/activities/868156459
868156435,Run,21.01.2017 07:17:12,7.3,Morning Run,88.8,11.518,7.71,7.78,9.17,29.5,,,84.9,NA-US-CA-La Jolla,0,"[32.758368, -117.242017]","[32.758216, -117.241834]",1.3,20.1,2,,18535.6,5804,32.758368,-117.242017,(GMT-08:00) America/Los_Angeles,2017-01-21,0.16,https://www.strava.com/activities/868156435
868156458,Run,22.01.2017 16:50:51,16.8,Afternoon Run,89.6,10.066,8.9,6.74,8.5,77,,,83,NA-US-CA-Santee,0,"[32.85357, -116.960471]","[32.853578, -116.960553]",96,137.9,1,,16199.8,5658,32.85357,-116.960471,(GMT-08:00) America/Los_Angeles,2017-01-22,0.48,https://www.strava.com/activities/868156458
868156418,Run,24.01.2017 18:40:25,18.7,Evening Run,8.6,1.539,5.58,10.76,12.75,0,,,92.8,NA-US-CA-Coronado,0,"[32.720371, -117.150025]","[32.720243, -117.150045]",40.7,42.3,25,,2477.1,1489,32.720371,-117.150025,(GMT-08:00) America/Los_Angeles,2017-01-24,,https://www.strava.com/activities/868156418
868156444,Run,28.01.2017 05:33:27,5.6,Morning Run,85.4,9.392,9.1,6.6,8.5,77.5,,,84,NA-US-VA-Bridgewater,0.1,"[38.383669, -78.975957]","[38.383185, -78.976409]",359,420.5,1,,15114.3,5657,38.383669,-78.975957,(GMT-05:00) America/New_York,2017-01-28,0.51,https://www.strava.com/activities/868156444
868156441,Run,29.01.2017 13:57:05,14,Afternoon Run,84.4,8.596,9.82,6.11,8.28,103.5,,,82.4,NA-US-VA-Mount Crawford,0,"[38.406419, -78.911195]","[38.406436, -78.910852]",379.9,426.7,1,,13833.1,5260,38.406419,-78.911195,(GMT-05:00) America/New_York,2017-01-29,0.75,https://www.strava.com/activities/868156441
868156404,Run,04.02.2017 18:20:31,18.3,Evening Run,0.8,0.042,20.35,2.95,3.36,0,,,53.8,NA-US-CA-Santee,0,"[32.853674, -116.960564]","[32.853544, -116.960606]",117,118,1,,67.2,51,32.853674,-116.960564,(GMT-08:00) America/Los_Angeles,2017-02-04,,https://www.strava.com/activities/868156404
868156428,Run,05.02.2017 07:35:42,7.6,Morning Run,45.2,6.228,7.26,8.27,10.07,24.3,,,85.6,NA-US-CA-Encinitas,0,"[33.046221, -117.293899]","[33.046208, -117.293898]",4.5,29,19,,10023.4,2711,33.046221,-117.293899,(GMT-08:00) America/Los_Angeles,2017-02-05,0.24,https://www.strava.com/activities/868156428
