Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence.1,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-10-29 14:50:02,False,Park County Running,1.02,183,00:39:41,96,127,1,49,158,1900-01-01 15:03:00,03:14:00,276,259,0.83,0,0,--,0,0,0,1900-01-01 15:41:00,00:00:00,64.4,00:00:00,No,00:00:02.480000,2,0,21,21,21
Running,2020-10-29 13:34:15,False,Park County Running,0.72,137,00:31:13,91,117,0.6,40,162,1900-01-01 19:33:00,12:53:00,105,62,0.91,0,0,--,0,0,0,1900-01-01 07:13:00,00:00:00,68.0,00:00:00,No,00:31:13.040000,1,0,18,18,18
Running,2020-10-27 10:34:34,False,Grand County Running,2.01,224,00:35:41,110,138,1.7,91,250,17:46:00,05:22:00,217,207,1.0,0,0,--,0,0,0,1900-01-01 11:41:00,00:00:00,66.2,00:00:00,No,00:00:05.990000,3,0,14,14,14
Running,2020-10-26 15:12:37,False,San Juan County Running,1.89,259,00:50:17,104,129,0.9,71,225,1900-01-01 02:38:00,13:49:00,213,184,0.86,0,0,--,0,0,0,1900-01-02 02:17:00,00:00:00,66.2,00:00:00,No,00:22:53.030000,2,0,24,24,24
Running,2020-10-25 11:27:04,False,Garfield County Running,8.43,1251,03:01:06,130,178,3.7,97,250,21:30:00,10:07:00,1739,1742,0.77,0,0,--,0,0,0,03:01:06,00:00:00,60.8,00:00:00,No,00:07:42.390000,9,0,17,17,17
Elliptical,2020-10-12 23:17:25,False,Elliptical,0.0,238,00:31:24,119,141,2.2,1,123,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 07:24:00,00:00:00,86.0,00:00:00,No,00:31:23.710000,1,0,15,15,15
Elliptical,2020-10-11 21:22:42,False,Elliptical,0.0,318,00:31:54,141,170,3.3,2,222,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 07:54:00,00:00:00,86.0,00:00:00,No,00:31:54.340000,1,0,16,16,16
Elliptical,2020-10-10 02:33:55,False,Elliptical,0.0,286,00:31:23,131,162,3,--,105,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 07:23:00,00:00:00,86.0,00:00:00,No,00:31:23.450000,1,0,16,16,16
Elliptical,2020-10-03 20:52:51,False,Elliptical,0.0,274,00:31:25,131,167,3.1,3,123,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 07:25:00,00:00:00,82.4,00:00:00,No,00:31:25.110000,1,0,14,14,14
Elliptical,2020-08-27 21:46:45,False,Elliptical,0.0,303,00:30:07,141,160,3.2,1,119,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 06:07:00,00:00:00,86.0,00:00:00,No,00:30:06.790000,1,0,18,18,18
Elliptical,2020-08-08 09:16:31,False,Elliptical,0.0,199,00:21:19,127,146,2.2,--,122,--,--,--,--,0.0,0,0,--,0,0,0,21:19:00,00:00:00,78.8,00:00:00,No,00:21:19.250000,1,0,14,14,14
Running,2020-08-07 18:54:25,False,Santee Running,1.86,235,00:41:28,107,123,1.2,89,130,22:18:00,14:31:00,30,43,0.81,0,0,--,0,0,0,1900-01-01 17:28:00,00:00:00,82.4,00:00:00,No,00:19:41.670000,2,0,19,19,19
Elliptical,2020-07-10 20:50:26,False,Elliptical,0.0,91,00:12:15,113,131,0.9,1,92,--,--,--,--,0.0,0,0,--,0,0,0,12:15:00,00:00:00,87.8,00:00:00,No,00:12:14.620000,1,0,13,13,13
Running,2020-06-28 18:35:34,False,Santee Running,6.01,656,00:59:16,144,158,3.8,163,183,09:52:00,08:21:00,135,121,1.0,0,0,--,0,0,0,1900-01-02 11:16:00,00:00:00,71.6,00:00:00,No,00:00:08.440000,7,0,17,17,17
Elliptical,2020-06-25 07:48:04,False,Elliptical,0.0,182,00:21:16,121,144,2,1,116,--,--,--,--,0.0,0,0,--,0,0,0,21:16:00,00:00:00,82.4,00:00:00,No,00:21:15.510000,1,0,13,13,13
Elliptical,2020-06-22 22:11:05,False,Elliptical,0.0,635,01:10:13,130,169,3.2,2,122,--,--,--,--,0.0,0,0,--,0,0,0,01:10:13,00:00:00,86.0,00:00:00,No,01:10:13.480000,1,0,14,14,14
Running,2020-06-16 20:11:37,False,Santee Running,3.17,360,00:33:14,139,155,3,163,176,10:29:00,08:21:00,177,174,0.94,0,0,--,0,0,0,1900-01-01 09:14:00,00:00:00,71.6,00:00:00,No,00:01:40.480000,4,0,17,17,17
Running,2020-06-07 11:06:58,False,Santee Running,0.66,64,00:06:46.300000,125,139,1.1,166,179,10:16:00,08:51:00,10,26,0.94,0,0,--,0,0,0,00:06:46.300000,00:00:00,80.6,00:00:00,No,00:06:46.270000,1,0,20,20,20
Running,2020-06-06 17:14:07,False,Santee Running,7.06,847,01:10:33,150,178,4.8,163,178,09:59:00,08:41:00,184,180,0.99,0,0,--,0,0,0,01:10:33,00:00:00,75.2,00:00:00,No,00:00:33.130000,8,0,19,19,19
Elliptical,2020-06-04 21:05:24,False,Elliptical,0.0,621,01:07:29,135,162,3.7,5,128,--,--,--,--,0.0,0,0,--,0,0,0,01:07:29,00:00:00,84.2,00:00:00,No,01:07:28.830000,1,0,13,13,13
Elliptical,2020-06-02 21:22:43,False,Elliptical,0.0,362,00:35:31,133,154,3,1,127,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 11:31:00,00:00:00,84.2,00:00:00,No,00:00:00,1,0,15,15,15
Running,2020-05-31 17:06:58,False,Santee Running,5.56,772,00:57:02,163,182,5,163,172,10:15:00,09:09:00,180,180,0.96,0,0,--,0,0,0,1900-01-02 09:02:00,00:00:00,82.4,00:00:00,No,00:06:11.940000,6,0,14,14,14
Elliptical,2020-05-28 01:22:24,False,Elliptical,0.0,237,00:27:01,122,145,2.4,1,158,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 03:01:00,00:00:00,84.2,00:00:00,No,00:00:04.530000,2,0,13,13,13
Running,2020-05-25 10:59:54,False,Poway Running,7.8,1286,03:05:35,124,166,3.2,93,247,23:48:00,08:26:00,2096,2087,0.71,0,0,--,0,0,0,03:05:35,00:00:00,86.0,00:00:00,No,00:11:53.660000,8,0,21,21,21
Running,2020-05-24 19:01:39,False,Santee Running,9.43,1154,01:38:03,148,172,4.6,161,214,10:24:00,09:06:00,423,436,0.96,0,0,--,0,0,0,01:38:03,00:00:00,69.8,00:00:00,No,00:04:54.700000,10,0,18,18,18
Running,2020-05-23 19:33:21,False,Santee Running,3.09,371,00:31:52,140,154,3.1,162,171,10:18:00,09:02:00,115,121,0.97,0,0,--,0,0,0,1900-01-01 07:52:00,00:00:00,68.0,00:00:00,No,00:00:58.380000,4,0,18,18,18
Running,2020-05-22 19:30:10,False,Santee Running,2.02,231,00:19:08,148,165,3.1,167,179,09:29:00,08:00:00,89,89,1.02,0,0,--,0,0,0,19:08:00,00:00:00,68.0,00:00:00,No,00:00:09.560000,3,0,14,14,14
Running,2020-05-17 20:02:52,False,Santee Running,3.22,397,00:32:43,150,167,3.5,163,173,10:09:00,08:27:00,131,138,0.97,0,0,--,0,0,0,1900-01-01 08:43:00,00:00:00,71.6,00:00:00,No,00:02:22.770000,4,0,21,21,21
Running,2020-04-19 15:31:23,False,Santee Running,4.62,488,01:34:43,95,129,1.5,101,172,20:29:00,09:49:00,240,243,0.78,0,0,--,0,0,0,01:34:43,00:00:00,77.0,00:00:00,No,00:10:14.100000,5,0,15,15,15
Running,2020-04-18 17:02:46,False,Santee Running,11.03,1147,01:41:54,143,163,4.2,168,184,09:14:00,08:03:00,472,456,1.04,0,0,--,0,0,0,01:41:54,00:00:00,66.2,00:00:00,No,00:00:17.060000,12,0,16,16,16
Running,2020-04-12 14:38:35,False,Santee Running,3.16,335,00:27:47,142,161,3.2,171,182,08:48:00,06:54:00,85,92,1.07,0,0,--,0,0,0,1900-01-01 03:47:00,00:00:00,62.6,00:00:00,No,00:01:07.940000,4,0,17,17,17
Running,2020-04-11 16:53:00,False,Santee Running,5.03,550,00:44:45,146,164,3.8,169,204,08:54:00,07:47:00,194,154,1.07,0,0,--,0,0,0,1900-01-01 20:45:00,00:00:00,71.6,00:00:00,No,00:00:16.270000,6,0,18,18,18
Running,2020-04-04 18:11:42,False,Santee Running,5.5,622,00:46:55,153,170,4.3,168,176,08:32:00,07:20:00,190,177,1.12,0,0,--,0,0,0,1900-01-01 22:55:00,00:00:00,64.4,00:00:00,No,00:04:27.520000,6,0,14,14,14
Running,2020-03-28 13:20:32,False,San Diego Running,5.02,572,00:49:24,139,152,3.3,170,180,09:50:00,08:02:00,85,59,0.97,0,0,--,0,0,0,1900-01-02 01:24:00,00:00:00,71.6,00:00:00,No,00:00:10.920000,6,0,14,14,14
Running,2020-03-23 18:58:43,False,San Diego County Running,1.73,180,00:29:29,87,117,0.7,115,166,17:01:00,11:33:00,62,52,0.82,0,0,--,0,0,0,1900-01-01 05:29:00,00:00:00,73.4,00:00:00,No,00:12:13.520000,2,0,--,--,--
Running,2020-03-22 14:25:43,False,San Diego Running,5.07,591,00:48:35,141,178,3.4,169,186,09:35:00,06:51:00,256,230,0.99,0,0,--,0,0,0,1900-01-02 00:35:00,00:00:00,75.2,00:00:00,No,00:00:40.670000,6,0,--,--,--
Elliptical,2020-03-13 14:48:49,False,Elliptical,0.0,224,00:27:13,115,125,1.2,95,138,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 03:13:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-03-12 16:34:07,False,San Diego Running,5.33,799,01:00:17,150,175,4.3,171,188,11:18:00,07:20:00,7,3,0.83,0,0,--,0,0,0,01:00:17,00:00:00,75.2,00:00:00,No,00:03:18.270000,6,0,--,--,--
Elliptical,2020-03-11 16:19:30,False,Elliptical,0.0,671,01:02:18,135,154,3.2,28,144,--,--,--,--,0.0,0,0,--,0,0,0,01:02:18,00:00:00,75.2,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-03-10 18:26:53,False,San Diego Running,3.07,314,00:24:41,142,159,3,177,192,08:03:00,01:25:00,13,13,1.13,0,0,--,0,0,0,1900-01-01 00:41:00,00:00:00,64.4,00:00:00,No,00:00:29.370000,4,0,--,--,--
Elliptical,2020-03-09 16:05:10,False,Elliptical,0.0,529,01:02:18,119,174,2.6,25,146,--,--,--,--,0.0,0,0,--,0,0,0,01:02:18,00:00:00,75.2,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-03-07 07:21:41,False,San Diego Running,17.02,1731,02:29:23,149,167,5,173,218,08:47:00,07:10:00,531,531,1.06,0,0,--,0,0,0,02:29:23,00:00:00,60.8,00:00:00,No,00:00:12.720000,18,0,--,--,--
Elliptical,2020-03-06 15:55:22,False,Elliptical,0.0,278,00:32:07,119,143,1.9,71,133,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 08:07:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Elliptical,2020-03-05 14:52:09,False,Elliptical,0.0,568,01:02:33,125,154,2.7,13,133,--,--,--,--,0.0,0,0,--,0,0,0,01:02:33,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-03-03 18:29:52,False,San Diego Running,3.41,343,00:27:29,147,164,3.3,177,188,08:03:00,06:28:00,16,13,1.13,0,0,--,0,0,0,1900-01-01 03:29:00,00:00:00,66.2,00:00:00,No,00:02:58.840000,4,0,--,--,--
Elliptical,2020-03-02 15:53:01,False,Elliptical,0.0,453,00:45:21,131,157,3,54,136,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 21:21:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-02-29 07:17:40,False,San Diego Running,10.05,1048,01:26:17,147,172,4.2,172,186,08:35:00,07:29:00,200,509,1.09,0,0,--,0,0,0,01:26:17,00:00:00,62.6,00:00:00,No,00:00:21.410000,11,0,--,--,--
Elliptical,2020-02-28 15:18:59,False,Elliptical,0.0,379,00:32:47,139,160,3,19,126,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 08:47:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-02-27 16:32:18,False,San Diego Running,5.53,750,01:00:33,146,177,3.8,169,190,10:57:00,07:00:00,3,13,0.87,0,0,--,0,0,0,01:00:33,00:00:00,73.4,00:00:00,No,00:04:35.090000,6,0,--,--,--
Elliptical,2020-02-26 16:05:13,False,Elliptical,0.0,470,00:45:37,133,153,2.9,29,139,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 21:37:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-02-25 18:19:19,False,San Diego Running,5.03,531,00:40:11,152,167,3.9,177,188,07:59:00,06:17:00,13,20,1.14,0,0,--,0,0,0,1900-01-01 16:11:00,00:00:00,66.2,00:00:00,No,00:00:11.620000,6,0,--,--,--
Elliptical,2020-02-24 16:57:47,False,Elliptical,0.0,703,01:02:13,140,169,3.9,56,142,--,--,--,--,0.0,0,0,--,0,0,0,01:02:13,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-02-22 07:20:12,False,San Diego Running,7.13,816,01:04:18,149,169,4.3,172,210,09:01:00,07:06:00,351,361,1.04,0,0,--,0,0,0,01:04:18,00:00:00,57.2,00:00:00,No,00:00:59.630000,8,0,--,--,--
Elliptical,2020-02-19 17:32:38,False,Elliptical,0.0,376,00:32:05,139,155,3.2,47,139,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 08:05:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Elliptical,2020-02-14 16:49:36,False,Elliptical,0.0,201,00:22:14,120,136,1.7,16,150,--,--,--,--,0.0,0,0,--,0,0,0,22:14:00,00:00:00,73.4,00:00:00,No,00:00:00,1,0,--,--,--
Treadmill Running,2020-02-13 16:17:14,False,Treadmill Running,5.86,738,01:00:21,143,167,3.9,170,186,10:18:00,07:36:00,--,--,0.92,0,0,--,0,0,0,01:00:21,00:00:00,73.4,00:00:00,No,00:07:40.920000,6,0,--,--,--
Elliptical,2020-02-12 17:15:37,False,Elliptical,0.0,148,00:17:05,116,137,1.4,47,136,--,--,--,--,0.0,0,0,--,0,0,0,17:05:00,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Treadmill Running,2020-02-11 16:32:12,False,Treadmill Running,1.6,233,00:30:32,113,137,1.2,148,170,19:06:00,13:26:00,--,--,0.57,0,0,--,0,0,0,1900-01-01 06:32:00,00:00:00,77.0,00:00:00,No,00:11:46.730000,2,0,--,--,--
Elliptical,2020-02-10 16:37:33,False,Elliptical,0.0,111,00:10:08,129,142,1.7,3,108,--,--,--,--,0.0,0,0,--,0,0,0,10:08:00,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-02-08 06:31:36,False,Maricopa County Running,26.22,2564,04:22:19,146,172,5,161,192,10:00:00,07:50:00,266,1142,0.99,0,0,--,0,0,0,04:22:19,00:00:00,53.6,00:00:00,No,00:02:15.870000,27,0,--,--,--
Running,2020-02-02 07:38:05,False,San Diego Running,6.2,667,00:50:40,152,165,3.9,171,185,08:11:00,07:35:00,46,56,1.15,0,0,--,0,0,0,1900-01-02 02:40:00,00:00:00,59.0,00:00:00,No,00:01:32.870000,7,0,--,--,--
Treadmill Running,2020-01-30 15:43:53,False,Treadmill Running,3.05,366,00:30:13,141,161,3.1,170,180,09:54:00,07:41:00,--,--,0.96,0,0,--,0,0,0,1900-01-01 06:13:00,00:00:00,75.2,00:00:00,No,00:00:28.040000,4,0,--,--,--
Elliptical,2020-01-27 13:51:51,False,Elliptical,0.0,356,00:30:32,140,158,3,50,141,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 06:32:00,00:00:00,80.6,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-01-26 17:05:40,False,Santee Running,4.39,460,00:36:30,145,160,3.3,172,182,08:18:00,07:05:00,302,308,1.13,0,0,--,0,0,0,1900-01-01 12:30:00,00:00:00,62.6,00:00:00,No,00:03:11.310000,5,0,--,--,--
Running,2020-01-25 07:49:59,False,Escondido Running,11.02,1249,01:39:58,148,167,4.2,172,180,09:04:00,07:45:00,331,322,1.03,0,0,--,0,0,0,01:39:58,00:00:00,51.8,00:00:00,No,00:00:08.500000,12,0,--,--,--
Running,2020-01-23 19:23:58,False,Santee Running,5.01,562,00:45:46,140,163,3.3,169,178,09:08:00,07:53:00,108,69,1.04,0,0,--,0,0,0,1900-01-01 21:46:00,00:00:00,60.8,00:00:00,No,00:00:04.070000,6,0,--,--,--
Running,2020-01-22 17:48:01,False,Running,4.12,540,00:40:19,149,172,3.7,167,180,09:48:00,07:59:00,--,7,0.98,0,0,--,0,0,0,1900-01-01 16:19:00,00:00:00,75.2,00:00:00,No,00:00:59.780000,5,0,--,--,--
Elliptical,2020-01-21 15:36:47,False,Elliptical,0.0,306,00:32:07,125,152,2.4,23,126,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 08:07:00,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-01-20 09:16:14,False,El Cajon Running,5.1,502,00:40:33,144,162,3.5,175,190,07:57:00,06:47:00,85,102,1.16,0,0,--,0,0,0,1900-01-01 16:33:00,00:00:00,60.8,00:00:00,No,00:00:43.570000,6,0,--,--,--
Running,2020-01-18 07:29:56,False,San Diego Running,13.14,1432,02:11:55,142,168,3.9,167,196,10:03:00,07:41:00,676,659,0.96,0,0,--,0,0,0,02:11:55,00:00:00,44.6,00:00:00,No,00:01:11.630000,14,0,--,--,--
Elliptical,2020-01-17 14:26:04,False,Elliptical,0.0,192,00:25:19,112,135,1,111,134,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 01:19:00,00:00:00,80.6,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-01-16 15:30:05,False,Running,4.05,526,00:46:11,136,149,3,160,176,11:24:00,10:23:00,3,7,0.88,0,0,--,0,0,0,1900-01-01 22:11:00,00:00:00,78.8,00:00:00,No,00:01:02.340000,5,0,--,--,--
Elliptical,2020-01-15 15:21:30,False,Elliptical,0.0,651,01:00:19,136,163,3.2,89,140,--,--,--,--,0.0,0,0,--,0,0,0,01:00:19,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-01-14 14:59:54,False,San Diego Running,4.04,504,00:43:22,142,159,3.3,164,178,10:43:00,08:39:00,10,3,0.92,0,0,--,0,0,0,1900-01-01 19:22:00,00:00:00,77.0,00:00:00,No,00:00:28.670000,5,0,--,--,--
Elliptical,2020-01-13 15:11:28,False,Elliptical,0.0,666,01:00:10,141,165,3.7,79,138,--,--,--,--,0.0,0,0,--,0,0,0,01:00:10,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
Running,2020-01-11 07:26:38,False,San Diego Running,11.02,1121,01:40:34,144,165,4,170,178,09:08:00,08:17:00,194,167,1.04,0,0,--,0,0,0,01:40:34,00:00:00,51.8,00:00:00,No,00:00:07.910000,12,0,--,--,--
Elliptical,2020-01-10 16:09:20,False,Elliptical,0.0,345,00:32:11,134,157,2.8,60,128,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 08:11:00,00:00:00,77.0,00:00:00,No,00:00:00,1,0,--,--,--
Elliptical,2020-01-09 15:07:03,False,Elliptical,0.0,409,00:42:06,130,154,2.7,10,123,--,--,--,--,0.0,0,0,--,0,0,0,1900-01-01 18:06:00,00:00:00,78.8,00:00:00,No,00:00:00,1,0,--,--,--
