When,Type,Gear,Name,Dist mi,Elv ft,Elapsed Time,Moving Time,Start Time,Day of Week,Speed mph,Max Speed mph,Pace /mi,Max Pace /mi,Pace /100yds,Max Pace /100yds,Pwr W,Weighted Avg Pwr W,Max Pwr W,Power Meter,Cad,Heart,Max Heart,Elv High ft,Elv Low ft,Efficiency %,Elev/Dist ft/mi,Elev/Time ft/h,W/HR,Speed/HR,Temp °C,Cal,Energy kJ,Segs,PRs,Group Size,Kudos,Comments,Com,Trn,Man,Pri,Dist away mi,Dist start to end mi,Activity Score 25%,Training Load,Intensity %,Relative Effort,Points in red,% in red,Segment PRs (K/QOM positions),All segments (personal positions),Ride/Run Type,400m,1 km,5 km,10 km,15 km,20 km,30 km,50 km,1/2 Mile,1 mile,2 mile,10 mile,Half Marathon,Marathon,Perceived Effort,H/R Zone 1,H/R Zone 2,H/R Zone 3,H/R Zone 4,H/R Zone 5,Power 0W,Power 0-50W,Power 50-100W,Power 100-150W,Power 150-200W,Power 200-250W,Power 250-300W,Power 300-350W,Power 350-400W,Power 400-450W,Power 450W+,Pace Zone 1,Pace Zone 2,Pace Zone 3,Pace Zone 4,Pace Zone 5,Pace Zone 6,Flagged,Description,City,State,Tiles calculated,Device/App,Activity Id,Activity Id
11/11/2020 7:16,Ride,Trek Madone,Temperature swing,84752.2,331,16346,13823,26190,Wednesday,6.1312,13.5,262.4840064,119.2041101,14.913864,6.7729608,94.4,0,,0,0,,0,114,-7.8,84.5650312,3.91,86.2,0,0,14,2946,1305.3,86,16,2,1,0,0,0,0,0,-1,42.2806847,67.60898458,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2219,2805,3338,2504,1433,757,399,179,92,36,61,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4324152645,4324152645
11/10/2020 15:21,Ride,Trek Madone,Sunset cruise with the wife,31388.1,205,6075,5538,55277,Tuesday,5.6678,12.8,283.8882816,125.7380467,16.130016,7.1442072,86.7,0,,0,0,,0,76.6,-13.4,91.16049383,6.53,133.3,0,0,14,1071,480.1,25,5,2,2,0,0,0,0,0,-1,10.04980286,75.69950645,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1081,1048,1448,974,532,237,111,48,26,8,25,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4320204022,4320204022
11/7/2020 6:58,Ride,Trek Madone,Unsuccessful Rain Dodging,48783.4,468,8379,7731,25128,Saturday,6.3101,13.1,255.081024,122.857321,14.49324,6.9805296,112.8,0,,0,0,,0,133.2,7,92.26638024,9.59,217.9,0,0,13,1847,872.4,43,1,1,4,0,0,0,0,0,-1,22.25136182,85.92200669,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1833,851,1240,1399,990,675,331,151,117,52,92,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4303371081,4303371081
11/5/2020 14:09,Ride,Trek Madone,Escorts,64821.4,353,10138,9443,50969,Thursday,6.8645,15.1,234.4814208,106.5868531,13.322808,6.0560712,117.4,0,,0,0,,0,152,18.8,93.14460446,5.45,134.6,0,0,22,2382,1109.1,67,8,1,3,0,0,0,0,0,-1,13.45721344,91.93848182,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1424,1123,1811,2195,1466,630,374,177,129,51,63,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4292295033,4292295033
11/2/2020 14:39,Ride,Trek Madone,Quick spin with the wife,20813,90,3586,3456,52786,Monday,6.0223,10.3,267.3120384,156.251209,15.188184,8.8779096,84.3,0,,0,0,,0,26.4,-1.2,96.37479085,4.32,93.7,0,0,20,686,291.2,13,0,2,4,0,0,0,0,0,-1,16.72740291,60.34083408,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,628,576,1097,682,198,164,51,21,12,16,11,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4278213025,4278213025
10/31/2020 8:18,Ride,Trek Madone,Sluggish Repeats,62292.7,1014,11579,11273,29910,Saturday,5.5258,18.1,291.291264,88.916256,16.55064,5.05206,118.6,0,,0,0,,0,224,-15.6,97.35728474,16.28,323.8,0,0,18,2599,1337.1,83,18,1,8,0,0,0,0,0,-1,8.635969672,88.81431691,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2538,1278,1812,1408,1680,1333,684,262,197,32,49,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4268053417,4268053417
10/29/2020 15:44,Ride,Trek Madone,Wrong turn,33926.9,367,5524,5236,56672,Thursday,6.4795,14.6,248.3217792,110.2239706,14.109192,6.2627256,120.1,0,,0,0,,0,97.6,-10.2,94.78638668,10.82,252.3,0,0,20,1316,628.9,24,5,1,3,0,0,0,0,0,-1,3.896661291,78.21029934,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1161,556,859,817,796,508,237,105,95,52,50,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4260518938,4260518938
10/27/2020 12:35,Ride,Trek Madone,H to Z,38949.5,261,6431,6149,45349,Tuesday,6.3343,12.7,254.1154176,126.7197466,14.438376,7.1999856,110.7,0,,0,0,,0,115,-9,95.61498989,6.7,152.8,0,0,24,1428,681,42,11,1,3,0,0,0,0,0,-1,8006.145118,86.5079316,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1126,832,1313,1127,826,417,211,143,71,40,43,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4251774570,4251774570
10/24/2020 8:19,Ride,Trek Madone,Scorched Great Western Loop,72433.6,1227,12420,11695,29949,Saturday,6.1936,19.2,259.909056,83.81463552,14.76756,4.7621952,146.3,0,,0,0,,0,785.4,102.6,94.1626409,16.94,377.7,0,0,17,1908.3,1711.5,57,20,3,9,1,0,0,0,0,-1,9.347203837,80.23809524,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1931,810,1266,1985,2432,1723,795,283,248,89,133,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4238404250,4238404250
10/23/2020 6:38,Ride,Trek Madone,Evasion,27389.7,93,4187,3959,23909,Friday,6.9183,13.4,232.550208,120.1053427,13.21308,6.8241672,105.1,0,,0,0,,0,36.6,-18,94.55457368,3.4,84.6,0,0,16,937,416,17,5,1,2,0,0,0,0,0,-1,409.7016881,87.90584416,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,460,591,948,1037,523,186,123,56,21,5,9,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4232956597,4232956597
10/20/2020 15:35,Ride,Trek Madone,Broken cleat,52293.3,482,8354,7806,56135,Tuesday,6.6991,14,240.2750592,114.9554419,13.651992,6.5315592,126.4,0,,0,0,,0,142.8,13,93.44026814,9.22,222.3,0,0,19,2067,987,73,6,1,5,0,0,0,0,0,-1,37.48361477,92.35645967,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1471,857,1211,1339,1112,924,399,218,151,53,71,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4222543838,4222543838
10/17/2020 15:13,Ride,Motiv Vortex,Jewel Valley with the kids-cut short by a crash,2159.9,26,1663,1013,54789,Saturday,2.1322,9,754.782336,178.8142118,42.88536,10.1598984,69.1,0,,0,0,,0,963.4,943,60.91401082,12.04,92.4,0,0,31,76,70,0,0,1,0,0,0,0,0,1,-1,44.48052305,0,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,354,224,216,96,47,52,1,9,5,6,3,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4222105252,4222105252
10/10/2020 7:25,Ride,Trek Madone,Long and Flat,113602,258,20145,17268,26719,Saturday,6.5788,12.9,244.620288,124.7563469,13.89888,7.0884288,100.9,0,,0,0,,0,45.6,-18.6,85.71854058,2.27,53.8,0,0,21,3921,1742,98,45,2,10,0,0,0,0,0,-1,404.5599571,84.5336314,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2586,2959,4089,3624,2118,1005,431,197,106,66,87,0,0,0,0,0,0,0,,,,0,Garmin Edge 810,4177811355,4177811355
